TagID,Date,Time,Latitude,Longitude,Fix,Sequence
020,2019-01-22,17:59:28,27.6492424,-97.5480423,3D GPS,1
020,2019-01-24,17:59:28,27.6510849,-97.552269,3D GPS,2
020,2019-01-26,17:59:28,27.6510601,-97.5522919,3D GPS,3
020,2019-01-28,17:59:28,27.6502399,-97.5524216,3D GPS,4
020,2019-01-30,17:59:28,27.6460419,-97.5573349,3D GPS,5
020,2019-02-01,17:59:28,27.6460419,-97.557312,3D GPS,6
020,2019-02-03,17:59:28,27.6460152,-97.5573654,3D GPS,7
020,2019-02-05,17:59:28,27.6460419,-97.5573349,3D GPS,8
020,2019-02-07,17:59:28,27.6460419,-97.5573349,3D GPS,9
020,2019-02-09,17:59:28,27.6460419,-97.557312,3D GPS,10
020,2019-02-11,17:59:28,27.6460419,-97.5573349,3D GPS,11
020,2019-02-13,17:59:28,27.6460419,-97.557312,3D GPS,12
020,2019-02-15,17:59:28,27.6460419,-97.5573349,3D GPS,13
020,2019-02-17,17:59:28,27.6460419,-97.5573349,3D GPS,14
020,2019-02-19,17:59:28,27.6460419,-97.5573349,3D GPS,15
020,2019-02-21,17:59:28,27.6460419,-97.5573349,3D GPS,16
020,2019-02-23,17:59:28,27.6460934,-97.557312,3D GPS,17
020,2019-02-25,17:59:28,27.6460667,-97.5573349,3D GPS,18
020,2019-03-01,17:59:28,27.6460419,-97.557312,3D GPS,19
020,2019-03-03,17:59:28,27.6460152,-97.5573349,3D GPS,20
020,2019-03-07,17:59:28,27.6460419,-97.5572891,3D GPS,21
020,2019-03-09,17:59:28,27.6460152,-97.5572891,3D GPS,22
020,2019-03-11,17:59:28,27.6460419,-97.5572891,3D GPS,23
020,2019-03-13,17:59:28,27.6460152,-97.5572891,3D GPS,24
020,2019-03-15,17:59:28,27.6460419,-97.5572891,3D GPS,25
020,2019-03-17,17:59:28,27.6460152,-97.557312,3D GPS,26
020,2019-03-19,17:59:28,27.6460419,-97.5572586,3D GPS,27
020,2019-03-19,22:40:44,27.644,-97.567,A3 Argos,28
020,2019-03-21,17:59:28,27.6460152,-97.5573349,3D GPS,29
020,2019-03-23,17:59:28,27.6460152,-97.557312,3D GPS,30
020,2019-03-25,17:59:28,27.6460419,-97.5572586,3D GPS,31
020,2019-03-25,23:11:04,27.648,-97.549,A3 Argos,32
020,2019-03-27,17:59:28,27.6460419,-97.5572891,3D GPS,33
020,2019-03-29,17:59:28,27.6460419,-97.5572891,3D GPS,34
020,2019-04-02,17:59:28,27.6460419,-97.5572357,2D GPS,35
020,2019-04-02,23:18:47,27.647,-97.555,A3 Argos,36
020,2019-04-04,17:59:28,27.6460667,-97.5573349,3D GPS,37
020,2019-04-06,17:59:28,27.6460419,-97.5573349,3D GPS,38
020,2019-04-08,17:59:28,27.6460152,-97.5572891,3D GPS,39
022,2019-01-26,17:59:28,27.8024311,-97.7783203,3D GPS,1
022,2019-01-28,17:59:28,27.806221,-97.7783432,3D GPS,2
022,2019-01-30,17:59:28,27.8024826,-97.7780838,3D GPS,3
022,2019-02-01,23:12:54,27.806,-97.749,A2 Argos,4
022,2019-02-01,17:59:28,27.8024578,-97.777832,3D GPS,5
022,2019-02-03,17:59:28,27.8056583,-97.7786255,3D GPS,6
022,2019-02-05,17:59:28,27.8065033,-97.7782898,3D GPS,7
022,2019-02-05,22:26:39,27.806,-97.78,A2 Argos,8
022,2019-02-07,17:59:28,27.8071423,-97.7782135,3D GPS,9
022,2019-02-09,17:59:28,27.8020744,-97.7732773,3D GPS,10
022,2019-02-11,17:59:28,27.8064766,-97.7782898,3D GPS,11
022,2019-02-13,17:59:28,27.8065281,-97.7782898,3D GPS,12
022,2019-02-15,17:59:28,27.8055305,-97.7784729,3D GPS,13
022,2019-02-17,17:59:28,27.8020992,-97.7731476,3D GPS,14
022,2019-02-23,17:59:28,27.8058376,-97.7790833,3D GPS,15
486,2019-06-16,18:04:44,50.393,-104.551,A2 Argos,1
486,2019-06-16,22:12:05,50.406,-104.534,A1 Argos,2
487,2019-06-03,17:59:28,50.2804604,-105.5752869,3D GPS,1
487,2019-06-05,17:59:28,50.2804604,-105.5753632,3D GPS,2
487,2019-06-05,17:59:28,50.2804871,-105.5753098,3D GPS,3
487,2019-06-05,22:44:28,50.281,-105.593,A1 Argos,4
487,2019-06-07,17:59:28,50.2804871,-105.5741806,3D GPS,5
487,2019-06-09,17:59:28,50.2804871,-105.5753098,3D GPS,6
487,2019-06-11,17:59:28,50.2805138,-105.5753098,3D GPS,7
