CRC,Date,Time,Latitude,Longitude,Fix,Act1,Act2,Act3,Act4
OK,05/06/2019,17:59:28,50.6886520,-104.6854782,3D,,,,
OK,07/06/2019,17:59:28,50.6886253,-104.6858902,3D,,,,
OK,09/06/2019,17:59:28,50.6884995,-104.6858139,3D,,,,
OK,11/06/2019,17:59:28,50.6888046,-104.6837616,3D,,,,
OK,13/06/2019,17:59:28,50.6885757,-104.6858139,3D,,,,
OK,15/06/2019,17:59:28,50.6876030,-104.6864014,3D,,,,
OK(corrected),17/06/2019,17:59:28,50.6885757,-104.6858368,3D,,,,
OK(corrected),19/06/2019,17:59:28,50.6885490,-104.6858139,3D,,,,
OK,21/06/2019,17:59:28,50.6886024,-104.6858139,3D,,,,
OK,23/06/2019,17:59:28,50.6885757,-104.6858597,3D,,,,
OK,25/06/2019,17:59:28,50.6885490,-104.6858368,3D,,,,
OK,27/06/2019,17:59:28,50.6885757,-104.6850967,3D,,,,
OK,27/06/2019,23:30:39,50.690,-104.687,A3,,,,
OK,29/06/2019,17:59:28,50.6876297,-104.6864243,3D,,,,
OK,01/07/2019,17:59:28,50.6885757,-104.6858597,3D,,,,
OK,03/07/2019,17:59:28,50.6886024,-104.6858597,3D,,,,
OK,03/07/2019,22:19:03,50.685,-104.699,AB,,,,
OK,05/07/2019,17:59:28,50.6896248,-104.6858597,3D,,,,
OK,07/07/2019,17:59:28,50.6886024,-104.6888046,3D,,,,
OK,09/07/2019,17:59:28,50.6882935,-104.6864243,3D,,,,
OK,09/07/2019,22:51:04,50.688,-104.692,A3,,,,
Fail,01/07/2019,17:59:28,50.6885757,-104.6862717,3D,,,,
Fail,09/01/2020,22:19:44,50.6876297,-104.6602097,3D,,,,
Fail,30/07/2020,02:40:00,50.6886024,-104.7936630,3D,,,,
