CRC,Date,Time,Latitude,Longitude,Fix,Act1,Act2,Act3,Act4
OK,11/02/2018,18:01:36,27.7398396,-97.1313248,3D,,,,
OK,13/02/2018,18:01:36,27.7396870,-97.1259537,3D,,,,
OK,15/02/2018,18:01:36,27.7419643,-97.1296158,3D,,,,
OK,17/02/2018,18:01:36,27.7417603,-97.1306610,2D,,,,
OK,19/02/2018,18:01:36,27.7400951,-97.1268997,3D,,,,
OK,21/02/2018,18:01:36,27.7399673,-97.1318893,3D,,,,
OK,25/02/2018,18:01:36,27.7414532,-97.1301727,3D,,,,
OK,01/03/2018,18:01:36,27.7418118,-97.1285629,3D,,,,
OK,03/03/2018,18:01:36,27.7406330,-97.1308899,3D,,,,
OK,03/03/2018,22:29:57,27.740,-97.133,AA,,,,
OK,05/03/2018,18:01:36,27.7406082,-97.1275635,3D,,,,
OK,07/03/2018,18:01:36,27.7423229,-97.1299744,2D,,,,
OK,09/03/2018,18:01:36,27.7413254,-97.1277695,3D,,,,
OK,10/03/2018,01:01:27,27.742,-97.125,A3,,,,
Fail,21/01/2017,09:21:04,27.7396870,-96.7098007,3D,,,,
Fail,15/02/2018,18:01:36,27.7419643,-97.1296158,3D,,,,
Fail,05/03/2018,18:01:36,27.7406082,-97.1275635,3D,,,,
Fail,07/03/2018,18:01:36,27.7423229,-97.1299744,2D,,,,
Fail,09/03/2018,18:01:36,27.7413254,-97.1277695,3D,,,,
