CRC,Date,Time,Latitude,Longitude,Fix,Act1,Act2,Act3,Act4
OK,05/03/2018,18:01:36,27.7406082,-97.1275635,3D,,,,
OK,07/03/2018,18:01:36,27.7423229,-97.1299744,2D,,,,
OK,09/03/2018,18:01:36,27.7413254,-97.1277695,3D,,,,
OK,13/03/2018,18:01:36,27.7430401,-97.1295090,3D,,,,
OK,15/03/2018,18:01:36,27.7412472,-97.1325836,3D,,,,
OK,17/03/2018,18:01:36,27.7412739,-97.1312790,3D,,,,
OK,17/03/2018,21:29:09,27.744,-97.120,AA,,,,
OK,19/03/2018,18:01:36,27.7408905,-97.1265640,3D,,,,
OK,23/03/2018,18:01:36,27.7437057,-97.1330414,3D,,,,
OK,25/03/2018,18:01:36,27.7412987,-97.1327133,3D,,,,
OK,25/03/2018,21:37:33,27.754,-97.143,AA,,,,
OK,27/03/2018,18:01:36,27.7482376,-97.1261292,3D,,,,
OK,29/03/2018,18:01:36,27.7438335,-97.1352692,3D,,,,
OK,31/03/2018,18:01:36,27.7477760,-97.1276169,3D,,,,
OK,05/04/2018,00:11:56,27.730,-97.139,AA,,,,
Fail,05/03/2018,18:01:36,27.7406082,-97.1275635,3D,,,,
Fail,07/03/2018,18:01:36,27.7423229,-97.1299744,2D,,,,
Fail,09/03/2018,18:01:36,27.7413254,-97.1277695,3D,,,,
Fail,19/03/2018,18:01:36,81.4279785,-97.1273880,3D,,,,
Fail,27/03/2018,18:01:36,81.4353256,-97.1261292,3D,,,,
Fail,29/03/2018,18:01:36,27.7438335,-97.1352692,3D,,,,
Fail,31/03/2018,18:10:08,29.4189434,-70.2840729,3D,,,,
Fail,06/03/2019,20:09:36,27.7423229,-102.1369247,2D,,,,
