CRC,Date,Time,Latitude,Longitude,Fix,Act1,Act2,Act3,Act4
OK,22/07/2018,16:59:44,50.3822479,-104.5372772,3D,,,,
OK(corrected),24/07/2018,16:59:44,50.3847313,-104.5338516,3D,,,,
OK(corrected),26/07/2018,16:59:44,50.3852654,-104.5473404,3D,,,,
OK,30/07/2018,16:59:44,50.4152718,-104.5565338,3D,,,,
OK,01/08/2018,16:59:44,50.4023438,-104.5608292,3D,,,,
OK,03/08/2018,16:59:44,50.4049263,-104.5570908,3D,,,,
OK,05/08/2018,16:59:44,50.4018822,-104.5589600,3D,,,,
OK,07/08/2018,16:59:44,50.4028015,-104.5591660,3D,,,,
OK,07/08/2018,17:10:25,50.364,-104.275,AA,,,,
OK,07/08/2018,17:14:49,50.364,-104.279,AB,,,,
Fail,28/07/2018,16:59:44,50.4022675,-104.6452103,3D,,,,
